LIST OF CLASSES																		
CSS 458 Project																		
																		
Notes:																		
- Unless otherwise stated, all courses are CSS prefixed.  The SKL prefix refers to CSSSKL.																		
																		
Summer					Autumn					Winter					Spring			
Course	Time	Day	Cap		Course	Time	Day	Cap		Course	Time	Day	Cap		Course	Time	Day	Cap
161	2:30-4:50	M/W	30		161A	11:00	M/W	45		161A	3:30	M/W	45		161A	11:00	M/W	45
SKL161	2:30-5:00	Tu	30		SKL161A	8:45-11:15	F	45		SKL161A	8:45-11:15	F	45		SKL161A	8:45-11:15	F	45
162	6:00-8:20	M/W	30		161B	1:15	M/W	45		161B	11:00	M/W	45		161B	3:30	M/W	45
SKL162	6:00-8:30	Tu	30		SKL161B	11:30-2:00	F	45		SKL161B	11:30-2:00	F	45		SKL161B	11:30-2:00	F	45
					162A	1:15	T/Th	45		161C	8:45	M/W	45		161C	8:00	M/W	45
					SKL162A	2:30-5:00	F	45		SKL161C	11:30-2:00	F	45		SKL161C	5:45-8:15	Tu	45
					162B	5:45	T/Th	45		162A	11:00	T/Th	45		162A	1:15	M/W	45
					SKL162B	3:30-6:00	Tu	45		SKL162A	2:15-4:45	F	45		SKL162A	2:15-4:45	F	45
										162B	5:45	M/W	45		162B	5:45	M/W	45
										SKL162B	5:45-8:15	Tu	45		SKL162B	5:45-8:15	Th	45
																		
301	9:00-11:20	MW	30		301A,D	11:00	T/TH	60		301A	1:15	T/Th	30		301A	1:15	T/Th	30
430	11:45-2:05	MW	10		301B	5:45	T/Th	30		301B	1:15	T/Th	30		301B	3:30	T/Th	30
					301C	5:45	T/Th	30		301C	8:45	M/W	30		342A	3:30	M/W	45
495					342A	5:45	M/W	65		342A	5:45	M/W	45		342B	8:00	T/TH	45
497					342B	8:00	M/W	65		342B	8:00	M/W	45		343A	3:30	M/W	45
498					343A	3:30	M/W	60		343A	3:30	M/W	60		350A	5:45	T/Th	45
499					350	3:30	T/Th	60		343B	8:00	M/W	60		360A	5:45	M/W	45
					360A	1:15	M/W	45		350A	3:30	T/Th	60		370A	3:30	T/Th	45
					360B	5:45	T/Th	45		350B	1:15	T/Th	60		422A	5:45	M/W	45
					360C	3:30	T/Th	45		360A	3:30	T/Th	45		422B	1:15	T/Th	45
					370	5:45	M/W	60		360B	5:45	T/Th	45		430A	8:00	M/W	45
					422A	3:30	M/W	45		370A	1:15	M/W	60		430B	1:15	T/Th	45
					422B	3:30	T/Th	45		370B	5:45	T/Th	60		496	5:45	M/W	10
					430 A	3:30	M/W	45		421	5:45	T/Th	20		497			
					497					422	3:30	T/Th	45		498			
					498					430	3:30	M/W	60		499			
					499					497								
										498								
										499								
																		
					SKL509	8:00	Th	30		SKL509	8:00	T	10		SKL509	8:00	T	10
										SKL510	8:00	Th	10		SKL510	8:00	Th	10
					501A	6-7:40	M/W	30		502A	6-7:40	M/W	30		503A	6-7:40	M/W	30
					501B	6-7:40	T/TH	30		502B	6-7:40	T/TH	30		503B	6-7:40	T/TH	30
					506A	8:00	M	30		507A	8:00	M	30		508A	8:00	M	30
					506B	8:00	T	30		507B	8:00	T	30		508B	8:00	T	30
					515	8:00	T	30		514	8:00	W	30		519	5:45	T/Th	30
					517	5:45	M/W	30		537	8:00	T/Th	30		539	8:00	M/W	30
					527	8:00	M/W	30		538	5:45	M/W	30		553	5:45	M/W	30
590	6:00-8:20	T/Th	30		533	5:45	T/TH	30		552	8:00	M/W	30		566	8:00	M/W	30
					572	8:00	T/TH	30		555	5:45	M/W	30		578	8:00	T/Th	30
					579	5:45	M/W	30		565	5:45	T/TH	30		590(10)	5:45	T/TH	30
					590(14)	5:45	T/TH	30		577	5:45	T/Th	30		593			
					590					593					595			
										595								
																		
490	6:00-8:20	M/W	45		205/405	4:15-5:05	Tu	20		205/405	3:30-4:20	M	20		205/405	1:15-2:05	Th	20
					295	1:15	W	10		211	3:30	M/W	45		225	3:30	T/Th	30
475	6:00-8:20	M	60		310	8:00	M/W	45		290	3:30	W	10		295	1:15	W	10
					332	1:15-5:15	F	90		295	1:15	W	10		332	1:15-5:15	F	90
					383	1-3	F	45		332	1:15-5:15	F	90		385	3:30	T/Th	45
					455	3:30	T/Th	45		337	5:45	M/W	45		411	1:15	M/W	45
					457	11:00	M/W	45		427A	5:45	M/W	15		415	3:30	TTh	45
					475	5:45	M/W	45		427A Lab	2:30-5:30	F	15		428 (6)	5:45	M/W	45
					490A(4)	3:30	M/W	45		427B	5:45	M/W	15		428 Lab	2:30-5:30	F	45
					490B	8:00	M/W	20		427B Lab	2:30-5:30	F	15		432	5:45	T/Th	45
					490C	8:00	T/Th	45		432	5:45	T/Th	45		434	3:30	M/W	45
					490D	5:45	TTh	45		451	3:30	T/Th	45		475	3:30	M/W	45
					499					475	1:15	M/W	45		480	5:45	M/W	45
										490A(8)	11:00	T/TH	45		448	8:00	T/Th	45
										490B(9)	8:00	M/W	45		458	8:00	M/W	45
										499					490A	1:15	M/W	45
															490B	3:30	M/W	45
															499			
																		
					BCUSP161	8:45	T/Th	45		BCUSP161	8:45	T/Th	45		BCUSP161	8:45	T/Th	45
					107	8:45	T/Th	45		107	1:15	T/Th	45		107	1:15	T/Th	45
					341	1:15	T/Th	45										
					371	5:45	T/Th	45										
					474	5:45	T/Th	45		473	5:45	T/Th	45		371	5:45	T/Th	45
